location,total_sqft,bath,price,bedrooms
Electronic City Phase II,1056.0,2.0,39.07,2
Chikka Tirupathi,2600.0,5.0,120.0,4
Uttarahalli,1440.0,2.0,62.0,3
Lingadheeranahalli,1521.0,3.0,95.0,3
Kothanur,1200.0,2.0,51.0,2
Whitefield,1170.0,2.0,38.0,2
Old Airport Road,2732.0,4.0,204.0,4
Rajaji Nagar,3300.0,4.0,600.0,4
Marathahalli,1310.0,3.0,63.25,3
Gandhi Bazar,1020.0,6.0,370.0,6
Whitefield,1800.0,2.0,70.0,3
Whitefield,2785.0,5.0,295.0,4
7th Phase JP Nagar,1000.0,2.0,38.0,2
Gottigere,1100.0,2.0,40.0,2
Sarjapur,2250.0,3.0,148.0,3
Mysore Road,1175.0,2.0,73.5,2
Bisuvanahalli,1180.0,3.0,48.0,3
Raja Rajeshwari Nagar,1540.0,3.0,60.0,3
Ramakrishnappa Layout,2770.0,4.0,290.0,3
Manayata Tech Park,1100.0,2.0,48.0,2
Kengeri,600.0,1.0,15.0,1
Binny Pete,1755.0,3.0,122.0,3
Thanisandra,2800.0,5.0,380.0,4
Bellandur,1767.0,3.0,103.0,3
 Thanisandra,510.0,1.0,25.25,1
Mangammanapalya,1250.0,3.0,56.0,3
Electronic City,660.0,1.0,23.1,2
Whitefield,1610.0,3.0,81.0,3
Ramagondanahalli,1151.0,2.0,48.77,2
Electronic City,1025.0,2.0,47.0,3
Yelahanka,2475.0,4.0,186.0,4
Bisuvanahalli,1075.0,2.0,35.0,3
Hebbal,1760.0,2.0,123.0,3
Raja Rajeshwari Nagar,1693.0,3.0,57.39,3
Kasturi Nagar,1925.0,3.0,125.0,3
Kanakpura Road,700.0,2.0,36.0,2
Electronics City Phase 1,1070.0,2.0,45.5,2
Kundalahalli,1724.0,3.0,125.0,3
Chikkalasandra,1290.0,2.0,56.12,3
Uttarahalli,1143.0,2.0,45.0,2
Murugeshpalya,1296.0,2.0,81.0,2
Sarjapur  Road,1254.0,3.0,38.0,3
Ganga Nagar,600.0,1.0,38.0,1
Yelahanka,660.0,1.0,48.0,1
Kanakpura Road,1330.74,2.0,91.79,2
HSR Layout,600.0,9.0,200.0,8
Doddathoguru,970.0,2.0,33.0,2
Whitefield,1459.0,2.0,94.82,2
KR Puram,800.0,1.0,130.0,2
Himagiri Meadows,869.0,2.0,36.0,2
Adarsh Nagar,1270.0,2.0,50.0,2
Bhoganhalli,1670.0,3.0,99.0,3
Whitefield,2010.0,3.0,91.0,3
Lakshminarayana Pura,1185.0,2.0,75.0,2
Yelahanka,1600.0,2.0,75.0,3
Begur Road,1200.0,2.0,44.0,2
Ramakrishnappa Layout,1500.0,2.0,185.0,2
Murugeshpalya,1407.0,4.0,150.0,6
Govindaraja Nagar Ward,840.0,2.0,45.0,2
Tharabanahalli,4395.0,3.0,240.0,3
Ganga Nagar,845.0,2.0,55.0,2
Whitefield,5700.0,5.0,650.0,4
Varthur,1160.0,2.0,44.0,2
Bommanahalli,3000.0,8.0,140.0,8
Doddathoguru,1100.0,2.0,62.0,2
Gunjur,1140.0,2.0,43.0,2
Marathahalli,1220.0,2.0,57.0,2
Devarachikkanahalli,1350.0,7.0,85.0,8
Kanakpura Road,1005.0,2.0,36.68,2
Double Road,500.0,3.0,100.0,3
Begur Road,1358.0,2.0,80.58,2
Hegde Nagar,1569.0,3.0,101.0,3
Haralur Road,1240.0,2.0,70.0,2
Hennur Road,2089.0,3.0,140.0,3
Kothannur,1206.0,2.0,48.23,2
Kalena Agrahara,1150.0,2.0,40.0,2
Cholanayakanahalli,2511.0,3.0,205.0,3
Kaval Byrasandra,460.0,1.0,22.0,2
ISRO Layout,4400.0,6.0,250.0,6
Kodanda Reddy Layout,1660.0,2.0,105.0,3
Yelahanka,1326.0,2.0,78.0,2
Garudachar Palya,1325.0,2.0,60.8,3
EPIP Zone,1499.0,5.0,102.0,3
Hegde Nagar,3000.0,7.0,210.0,6
Kanakpura Road,1665.0,3.0,88.0,3
Dasanapura,708.0,2.0,37.0,2
Kasavanhalli,1060.0,2.0,58.06,2
Rajaji Nagar,710.0,6.0,160.0,6
Sanjay nagar,1000.0,2.0,70.0,2
Electronic City,1000.0,2.0,28.88,2
 Mysore Highway,1450.0,2.0,70.0,3
ISRO Layout,1200.0,4.0,155.0,4
Thanisandra,1296.0,2.0,80.0,2
Domlur,1540.0,3.0,90.0,3
Kengeri,2894.0,4.0,245.0,4
Sarjapura - Attibele Road,1330.0,2.0,48.0,3
Devasthanagalu,1200.0,2.0,65.0,2
T Dasarahalli,1200.0,3.0,90.0,3
Yeshwanthpur,2502.0,3.0,138.0,3
Chandapura,650.0,1.0,17.0,2
Kothanur,2400.0,2.0,150.0,3
Green View Layout,1007.0,2.0,43.0,2
Shantiniketan Layout,1200.0,2.0,50.0,2
Peenya,966.0,2.0,49.9,2
Nagarbhavi,1630.0,2.0,98.0,3
Rajaji Nagar,1640.0,3.0,229.0,3
Jalahalli West,782.0,2.0,55.68,2
Devanahalli,1260.0,2.0,66.78,2
Lakshmiamma Garden,1800.0,3.0,120.0,3
Byatarayanapura,1413.0,2.0,75.0,3
Whitefield,1116.0,2.0,51.91,2
Electronic City,1530.0,2.0,45.9,3
Ramamurthy Nagar,3700.0,4.0,225.0,4
Sarjapur  Road,2497.0,3.0,140.0,3
Kengeri,1540.0,2.0,64.0,3
Thanisandra,1436.0,3.0,74.75,3
Malleshwaram,1100.0,2.0,75.0,2
Hennur Road,276.0,3.0,23.0,2
Thanisandra,1427.0,3.0,120.0,3
Akshaya Nagar,2061.0,3.0,200.0,3
Hebbal,5611.5,4.0,477.0,4
Shampura,2650.0,4.0,150.0,4
Devanahalli,1282.0,2.0,68.52,3
Kadugodi,1050.0,2.0,34.0,2
LB Shastri Nagar,1600.0,3.0,65.0,3
Vajarahalli,945.0,2.0,54.0,2
Hormavu,1500.0,2.0,78.0,2
Vishwapriya Layout,950.0,7.0,115.0,7
Peenya,1870.0,3.0,110.0,3
Sarjapur,1600.0,3.0,75.0,3
Electronic City,880.0,1.0,16.5,2
Ramaswamy Palya - Kammanahalli Main Road,1200.0,4.0,210.0,4
Kudlu Gate,1535.0,3.0,83.0,3
Kanakpura Road,950.0,2.0,57.0,2
Devanahalli,1360.0,2.0,65.0,2
8th Phase JP Nagar,1073.5,2.0,54.005,2
Bommasandra Industrial Area,1280.0,3.0,50.4,3
Chandra Layout,1260.0,2.0,85.05,3
Hennur Road,5000.0,8.0,250.0,8
Yelahanka,3050.0,5.0,213.0,5
Kasavanhalli,1563.05,3.0,105.0,3
ISRO Layout,1000.0,2.0,60.0,2
Anandapura,1167.0,2.0,43.76,2
Vishveshwarya Layout,4000.0,7.0,225.0,7
Kothanur,1828.0,3.0,110.0,3
Kengeri Satellite Town,890.0,2.0,35.0,2
